Card Name,Card Typing,Effigy Costs,Casting Cost,Text Box,Strength,Lifespan,Timer,Arrows (Clockwise top center = 1),Set,Effigy type,Rarity,Watch
Arbosalis Zealot,"Human, Being",2 Living,2,Engage: Add (1) Living Essence.,1,1,XXX,1,1,Living,C,0
Blooming Seed,"Seed, Being",0,0,"Pay (1) Living: Add (1) Growth Counter.
Remove (1) Growth Counter: Sacrifice this, summon (1) Blooming Vine Token (0/3 Being - vine token with ""Engage: Add (1) Living"") on any tile this points to.",0,2,XXX,1,1,Living,C,0
Boknea Druid,"TreeFolk, Being","1 Faithless, 2 Living",3,"Dryad.
This may be summoned directly onto another TreeFolk, Vine, or Seed.",1,2,XXX,"1, 3, 5",1,Living,U,0
Boknean Wine,"Ethereal, Conjuring",2 Living,2,"Engage target being, it has +2/+0 until end of turn.",XXX,XXX,XXX,XXX,1,Living,U,0
Classic Familiar ,"Cat, Being, Familiar","1 Faithless, 1 Living",2,"Depart: Invoke (Add to hand, then summon/conjure) White Whisker.",2,2,XXX,"1, 5, 7",1,Living,U,0
Crathea,"TreeFolk, Being, Deity","2 Faithless, 6 Living",8,"When summoned create a face up Blooming Life token (0 cost - Divine Prophecy - 3T ""Beings you control have +1/+1"") or a Withering Life token (0 cost - Divine Prophecy - 3T - ""Beings you don't control have -1/-1"").",3,5,XXX,"1, 2, 3, 4, 5, 6, 7, 8",1,Living,Sacred,1
Crathean Cultivator,"TreeFolk, Being","2 Faithless, 2 Living",4,Engage: Invoke a Seed on target tile this points to.,2,2,XXX,"1, 2, 8",1,Living,C,0
Crawling Growth,"Ethereal, Conjuring",1 Living,1,Summon a 0/2 Vine token on an empty tile adjacent to another Vine you control.,XXX,XXX,XXX,XXX,1,Living,C,0
Dendrify,"Ethereal, Conjuring",2 Living,2,Target Being loses all abilities and becomes a 0/5 TreeFolk Being until end of turn.,XXX,XXX,XXX,XXX,1,Living,R,0
Dryad,"TreeFolk, Being",2 Living,2,"Dryad (May move onto another TreeFolk, Vine, or Seed.
This has that Beings Strength and Lifespan while attached).",1,3,XXX,1,1,Living,C,0
Elderflower Ancient,"TreeFolk, Being","1 Faithless, 3 Living",4,"Depart: Restore (6) Lifespan or Summon (2) Blooming Vine tokens  (0/3 Being - Vine token with ""Engage: Add (1) Living"").",1,4,XXX,"1, 3, 7",1,Living,R,0
Farm hand ,"Human, Being",1 Living,1,"When summoned reveal the top of your deck, if it is a Seed Being add it to hand.

""Sometimes you reap what you sow""",1,1,XXX,"1, 5",1,Living,C,0
Festival of Monatssa,Prophecy,"2 Faithless, 2 Living",4,Draw (1) Card for each Being you control with Dryad.,XXX,XXX,1,XXX,1,Living,U,0
Grand Germination,Prophecy,2 Living,2,Trigger all Martyr abilities on Seeds you control ignoring costs.,XXX,XXX,3,XXX,1,Living,R,0
Green thumbed Gardener,"Human, Being","1 Faithless, 2 Living",3,When summoned add (1) Growth Counter to a Seed this points to.,1,2,XXX,"1, 3, 5",1,Living,U,0
Greenseer ,"Human, Being","1 Faithless, 2 Living",3,Once per turn target Familiar becomes Favored until end of turn. ,2,3,XXX,"2, 5, 8",1,Living,R,0
Greenseer's assistant,"Human, Being",2 Living,2,When a Familiar is summoned under your control draw (1) card.,1,2,XXX,"1, 3",1,Living,U,0
Growth Spurt,Prophecy,2 Living,2,"Gain (1) Time Counter
Beings you control have +1/+0, if any of those beings are TreeFolk, they gain +2/+0 instead.",XXX,XXX,3,XXX,1,Living,C,0
HeartWood Locket,"Relic, Armament",2 Living,2,"Martyr: Until end of turn attached Being gains: ""Damage dealt to this Being is dealt directly to it's controller instead"".",XXX,XXX,XXX,XXX,1,Living,R,0
Hoarder,"Human, Being, Familiar",2 Living,2,Each time this moves create a Rat token on the tile it moved from.,2,2,XXX,"1, 3, 5, 7",1,Living,R,0
Imneyat Dryad,"TreeFolk, Being","1 Faithless, 2 Living",3,"Dryad
When Imneyat Druid moves Summon (1) 0/2 Vine token on the tile it moved from.",1,3,XXX,"1, 3, 5",1,Living,C,0
Impatient Imp,"Imp, Being, Familiar",1 Living,1,"When summoned deal (1) damage to it. 
Martyr: Deal (1) damage to target Being.",1,1,XXX,"1, 2, 3, 4, 5, 6, 7, 8",1,Living,C,0
Jirahperā ,"TreeFolk, Being",4 Living,4,"Dryad.
When summoned you may summon (2) 0/2 Vine tokens on tiles Jirahperā points to.",2,2,XXX,"2, 3, 7, 8",1,Living,U,0
Kernel,"Seed, Being",0,1,"Pay (2) Living: Add (1) Growth Counter.
Remove (1) Growth Counter: Sacrifice this, Invoke a Treefolk with cost (2) or less summon it on a tile this points to.",0,3,XXX,"1, 3, 7",1,Living,C,0
Lumbering Leadwood,"TreeFolk, Being",4 Living,4,"Can not attack.
Depart: Add a Seed Being to hand from your Purgatory ",0,8,XXX,1,1,Living,C,0
Menagerie Mistress,"Human, Being",2 Living,2,"While you control an Imp, Cat, and a Rat, Menagerie Mistress has +3/+6.",1,3,XXX,"1, 4, 6",1,Living,R,0
Mischief of Rats,"Rat, Being, Familiar","1 Faithless, 2 Living",3,This has +1/+1 for each other Rat you have in play.,2,2,XXX,"2, 3, 7, 8",1,Living,R,0
Natures Bounty,Prophecy,2 Living,2,"Gain (1) Time Counter
TreeFolk, Vine, and Seeds you control gain: ""Engage: add (1) Living"".",XXX,XXX,3,XXX,1,Living,U,0
Nursery Attendant ,"TreeFolk, Being","2 Faithless, 2 Living",4,Seed Beings that Nursery Attendant Points to cost (-1) Living to activate.,2,2,XXX,"1, 3, 5",1,Living,C,0
Propagate,Conjuring,"1 Faithless, 2 Living",3,"If you control a TreeFolk, draw (1) Card.
If you control a Vine, add a TreeFollk to hand from your Purgatory. 
If you control both you may do both.",XXX,XXX,XXX,XXX,1,Living,U,0
Pruning Sheers,Relic,2 Living,3,"Engage: Sacrifice a TreeFolk, Vine, or Seed you control that costs (2) or less, then gain (5) Lifespan.",XXX,XXX,XXX,XXX,1,Living,C,0
Quake Goliath ,"Giant, Being","2 Faithless, 3 Living",5,When summoned deal (1) Damage to all other Beings.,3,3,XXX,1,1,Living,R,0
Ravenous Growth,"Ethereal, Conjuring","1 Faithless, 2 Living",2,Summon a 0/2 Vine token on target empty tile you control.,XXX,XXX,XXX,1,1,Living,C,0
Rejuvinating Waters,Relic,3 Living,3,"Enters with (2) Growth Counters.
Remove (1) Growth Counter, Engage: Gain (2) Lifespan for each TreeFolk, Vine, and Seed you control.",XXX,XXX,XXX,XXX,1,Living,U,1
Roots of Eternity,"TreeFolk, Being","1 Faithless, 2 Living",3,"Once per turn you may sacrifice a Vine token, summon this from Purgatory on the tile that the sacrificed vine token was on ",2,2,XXX,"1, 3, 7",1,Living,C,1
Samara Seed,"Seed, Being",1 Living,1,"Pay (1) Living: Add (1) Growth Counter. 
 Remove (4) Growth Counters, Martyr: Invoke a TreeFolk with cost (4) or less on a tile this points to.",0,3,XXX,"2, 8, 5",1,Living,U,0
Sapling,"TreeFolk, Being",2 Living,2,"Whenever you Martyr a Seed, Craft (1) Effigy.",1,2,XXX,1,1,Living,C,0
Seasons of Regrowth,Prophecy,4 Living,4,Discard your hand then draw cards equal to the number of cards that you discarded.,XXX,XXX,1,XXX,1,Living,Sacred,1
Seed of Divinity,"Seed, Being",0,1,"Pay (2) Living: Add (1) Growth Counter. 
 Remove (3) Growth Counters, Martyr: Add a Living Deity to hand from your deck",0,3,XXX,XXX,1,Living,Sacred,0
Spreading Roots,Conjuring,"1 Faithless, 2 Living",3,Summon (2) 0/2 vine being tokens on tiles you control.,XXX,XXX,XXX,XXX,1,Living,C,0
Stray,"Cat, Being, Familiar",1 Living,1,Martyr: Add a Familiar to hand from deck.,1,1,XXX,1,1,Living,U,0
The Roots Remember,Prophecy,"2 Faithless, 2 Living",4,"Gain (1) Time Counter.
 If there are (0) Time Counters on this conjure a (Living) Prophecy from your Purgatory.",XXX,XXX,1,XXX,1,Living,U,1
Tiarlish Magic,Conjuring,1 Living,1,Craft (1) Effigy.,XXX,XXX,XXX,XXX,1,Living,C,0
Tilled Fields,Relic,"1 Faithless, 2 Living",3,"Pay (1) Living Essence, Engage: Until end of turn Plants summoned on this tile come in Disengaged.
If this is Engaged at the end of the turn, sacrifice it.
Beings may move across this Relic.",XXX,XXX,XXX,XXX,1,Living,C,0
Transplant,"Ethereal, Conjuring",2 Living,2,"Engage target Treefolk, move it (1) tile in any direction.",XXX,XXX,XXX,XXX,1,Living,U,0
White Whisker ,Relic,2 Living,2,"Engage: Add a Familiar to hand from deck. 
Sacrifice this when you summon a Familiar.",XXX,XXX,XXX,XXX,1,Living,C,0
Witching Well,Relic,"2 Faithless, 1 Living",3,"Engage: Flip a coin if heads draw (1) card, if tails look at the top card of your opponents deck, you may have them shuffle.",XXX,XXX,XXX,XXX,1,Living,C,0
Al khali the Empty,Prophecy,1 Shifting,1,Summon a Shifting Sands token on all tiles this points to. ,XXX,XXX,2,"1, 5, 6",1,Shifting,R,0
Antiquities Dealer ,"Human, Being",3 Shifitng,3,Once per turn sacrifice a Relic: Craft (1) Effigy.,0,3,XXX,"1, 3, 7",1,Shifting,R,0
Bag o' Bones,Relic,1 Shifting,1,Matyr,XXX,XXX,XXX,XXX,1,Shifting,C,0
Balance the Scales,Prophecy,1 Shifting,1,Sacrifice a Being: Each opponent sacrifices a Being,XXX,XXX,2,XXX,1,Shifting,C,0
Blood Moon ,Prophecy,1 Shifting,2,"Gain (1) Time Counter
Whenever a Being dies it's controller gives a different target Being +1/+1",XXX,XXX,2,XXX,1,Shifting,R,0
Bone collector,"Undead, Being","1 Faithless, 1 Shifting",2,"When summoned, summon a Bag o' Bones token (1 cost Relic - Martyr.).",3,2,XXX,"1, 3, 7",1,Shifting,C,0
Canopic Jar,Relic,"1 Faithless, 1 Shifting",2,"Whenever a Being dies add (1) Crossing Counter to this.
Engage: Remove (4) Crossing Counters Shuffle a Being from Purgatory into it's owners deck, they draw (1) card.",XXX,XXX,XXX,XXX,1,Shifting,C,0
Careless IkVarem  ,"Lycan, Being","1 Faithless, 2 Shifitng",3,Depart: Target Being you control becomes Favored.,2,2,XXX,"8, 3",1,Shifting,C,0
Cemetery Physician,"Undead, Being","1 Faithless, 2 Shifitng",3,Once per turn sacrifice (X) Bag o' Bones: Summon a Being from your Purgatory with cost (X).,2,5,XXX,"1, 5",1,Shifting,U,0
Claws of Onoushara,Relic,3 Shifitng,3,"Engage: Sacrifice a Being on this tile, then draw cards equal to it's Lifespan.
Beings may move across this.",XXX,XXX,XXX,XXX,1,Shifting,Sacred,1
Cookie,"Dog, Being","1 Faithless, 1 Shifting",2,"Engage: Summon a Bag o' Bones token (1 cost Relic - Martyr).

""Man's Best Friend, wether the man is alive, dead or even undead""",1,2,XXX,"1, 2, 7",1,Shifting,R,0
Crumbling Sphinx,"Relic, Being",1 Shifting,1,Engage: Deal (1) Lifespan Damage to a Being you control and (1) to a different Being.,2,1,XXX,1,1,Shifting,C,0
Death's Howl,Conjuring,2 Shifitng,2,Sacrifice (X) Beings: Add (X) Shifting Essence where (X) is the number of Beings sacrificed.,XXX,XXX,XXX,XXX,1,Shifting,U,0
Deossification,Conjuring,2 Shifitng,2,Discard (X) Bag o' Bones: Draw (X) Cards.,XXX,XXX,XXX,XXX,1,Shifting,C,0
"Ditch Digger ""Steve""","Human, Being",1 Shifting,1,Depart: Summon a Bag o' Bones token (1 cost Relic - Martyr).,1,2,XXX,"1, 5",1,Shifting,C,0
Dust to Dust,Conjuring,"2 Faithless, 3 Shifitng",5,"All Beings are sent to Purgatory. Each player Crafts (1) Effigy card for each Being they controlled. 
Your turn ends.",XXX,XXX,XXX,XXX,1,Shifting,R,1
Engrave,"Ethereal, Conjuring",2 Shifitng,2,"Beings you control gain ""Depart: Summon a Bag o' Bones token"".",XXX,XXX,XXX,"1, 2",1,Shifting,U,0
Favorite Son,"Human, Being",1 Shifting,1,When summoned become Favored (Gains a Favor Counter. The next time this Being would take damage remove the Favor Counter instead).,1,1,XXX,1,1,Shifting,C,1
Ferryman's Boat,Relic,2 Shifitng,2,"When summoned gain (2) Crossing Counters.
Remove (1) Crossing Counter, Engage: Sacrifice a Being on a tile this points to.",XXX,XXX,XXX,"1, 5",1,Shifting,C,0
Fetch,Conjuring,2 Shifitng,2,"Add a Bag o' Bones to hand from your Purgatory, if you control Cookie you may add an Undead instead.

""Who's a good boy helping dig up all these graves""",XXX,XXX,XXX,XXX,1,Shifting,C,0
Fleeting Auspice,"Ethereal, Conjuring",3 Shifitng,3,All Beings become Favored until end of turn.,XXX,XXX,XXX,XXX,1,Shifting,R,0
Grave robber,"Human, Being",3 Shifitng,3,"Engage: Add a Bag o' Bones token (1 cost Relic - Martyr.) to hand.
Martyr: Summon an Undead Being on this tile from your Purgatory.",2,4,XXX,"1, 4, 6",1,Shifting,R,0
IkVarem  ,"Lycan, Being","2 Faithless, 2 Shifitng",4,When summoned target Being you control becomes Favored until end of turn.,3,2,XXX,"1, 4, 6",1,Shifting,U,0
Kalduran Altar,Altar,2 Shifitng,2,"As an additional cost to conjure, send the top (3) cards of your deck to your Purgatory.
 Craft (1) additional Effigy on your turn
(Conjures in the Effigy Zone).",XXX,XXX,XXX,XXX,1,Shifting,U,0
Kalduran Zealot,"Human, Being",1 Shifting,1,If you control a non Armament Relic you may Engage: Add (1) Shifting Essence.,1,2,XXX,1,1,Shifting,C,0
Kendasha,"Spirit, Being","1 Faithless, 1 Shifting",2,Depart: Deal (1) damage to target Being.,3,1,XXX,"2, 7",1,Shifting,C,0
Locust swarm ,"Insect, Being","1 Faithless, 2 Shifitng",3,Depart: Locust Swarm Shifts (3).,2,3,XXX,1,1,Shifting,U,0
Martyrdom,Conjuring,1 Shifting,1,Sacrifice target Being add (2) Shifting Essence.,XXX,XXX,XXX,XXX,1,Shifting,C,1
Mausoleum Gates,Relic,4 Shifitng,4,"Enters with (2) Crossing Counters.
Remove (1) Crossing Counter, then Engage: You may summon Undead from your Purgatory until the end of your turn.",XXX,XXX,XXX,XXX,1,Shifting,U,0
May Break my Bones,Prophecy,1 Shifting,1,"Choose a Being this points to, destroy it and Summon a Bag o' Bones token (1 cost Relic - Martyr.) on that tile.",XXX,XXX,2,"1, 4, 6",1,Shifting,C,0
Mirage Visage ,Prophecy,1 Shifting,1,"Choose (2) Beings this points to, become Favored",XXX,XXX,2,"1, 4, 6",1,Shifting,C,0
Monumental Mason,"Giant, Being","1 Faithless, 2 Shifitng",3,"If you conjure a non Armament Relic on a tile this points to, Craft an Effigy.",1,3,XXX,"1, 3, 5, 7",1,Shifting,U,0
My Body as a Shield,"Ethereal, Conjuring",1 Shifting,1,Sacrifice a Being you control: Target being becomes Favored until end of turn.,XXX,XXX,XXX,XXX,1,Shifting,U,0
One Above All,"Ethereal, Conjuring",2 Shifitng,2,Target Being becomes Favored.,XXX,XXX,XXX,XXX,1,Shifting,U,0
Onoushara,"Lycan, Being, Deity",4 Shifitng,4,"When Onoushara is summoned all Beings lose -1/-1. Onoushara gains +1/+1 for each Being affected. 
Whenever a Being you control dies, Onoushara gains +1/+1.",2,2,XXX,"1, 2, 3, 4, 5, 6, 7, 8",1,Shifting,Sacred,0
Osteomancer,"Human, Being",3 Shifitng,3,"Engage, Sacrfiice a Bag o' Bones: Add an Undead to hand from your Purgatory
Engage, Sacrifice an Undead: Summon a different Undead from your Purgatory.",3,3,XXX,"2, 3, 5, 8",1,Shifting,Sacred,0
Plague doctor ,"Undead, Being","1 Faithless, 2 Shifitng",3,"Engage: Until the end of turn, target Being has -1/-1 for each Being that died under your control this turn.",2,1,XXX,"1, 2, 8",1,Shifting,C,1
Read the Bones,"Ethereal, Conjuring",2 Shifitng,2,"Look at the top (X) cards of your deck where (X) is the number of Undead in your Purgatory, then put them back in any order you like or shuffle.",XXX,XXX,XXX,XXX,1,Shifting,C,0
Restless Dead,"Undead, Being",1 Shifting,1,Restless Dead has +2/+0 until end of turn for each Being that died under your control this turn.,1,2,XXX,1,1,Shifting,C,0
Return the Favor,Conjuring,"1 Faithless, 1 Shifting",2,Until the end of the turn whenever a Being you control loses a Favored Counter a different Being becomes Favored.,XXX,XXX,XXX,XXX,1,Shifting,C,0
Ritual Executioner,"Human, Being",1 Shifting,1,Engage: Sacrifice target Being you control.,1,3,XXX,"1, 8",1,Shifting,R,0
Scarab,"Insect, Being",2 Shifitng,2,Depart: Target Being gains a -1/-1 Counter.,2,1,XXX,"1, 3, 5",1,Shifting,C,0
Shifting Sands,Relic,1 Shifting,1,"When summoned gain (2) Crossing Counters. 
Engage: Remove (1) Crossing Counter, then move target Being you control to this tile. 
Beings may move across Shfting Sands.",XXX,XXX,XXX,XXX,1,Shifting,U,0
Shovel ,"Relic, Armament",1 Shifting,1,"Being gains: ""Engage: Sacrifice Shovel, then reveal the top (3) cards of your deck, you may add any Relics revealed to hand, shuffle the others back into your deck"".",XXX,XXX,XXX,XXX,1,Shifting,C,0
Skeletal Colossus ,"Undead, Being","3 Faithless, 2 Shifitng",5,Costs (-1) Faithless for each Bag o' Bones you control.,5,5,XXX,"1, 2, 5, 8",1,Shifting,U,0
Skeleton Key,Relic,1 Shifting,1,Burn (2) Shifting: Trigger the Depart of a Being you control.,XXX,XXX,XXX,XXX,1,Shifting,U,1
Strike Down,"Ethereal, Conjuring",2 Shifitng,2,"Destroy target blocking Being, its controller is not dealt damage when it dies; the attacking Being deals no damage.",XXX,XXX,XXX,XXX,1,Shifting,U,0
Temple Guardian,"Cat, Being, Familiar","1 Faithless, 1 Shifting",2,Has (+1) Lifespan for each Non Armament Relic you control.,1,1,XXX,"7, 2",1,Shifting,C,0
Venefica,"Undead, Being",3 Shifitng,3,"When summoned target opponent sacrifices a Being but takes no Lifespan damage from it.  

""At least you get to pick your poison""",2,3,XXX,1,1,Shifting,R,0
Willing Sacrifice ,"Ethereal, Conjuring",2 Shifitng,2,"Until end of turn target Being gains: ""Martyr: Craft (1) Effigy"".",XXX,XXX,XXX,XXX,1,Shifting,U,0
Afterimage,"Ethereal, Conjuring","1 Faithless, 2 Timeless",3,"Whenever target Being moves this turn, summon an Afterimage token on the tile it moved from.
(Afterimage 0 Cost 0/3 - Temporal Being
 When Summoned gain (2) Time Counters.
When this has (0) Time Counters on it, sacrifice it).",XXX,XXX,XXX,XXX,1,Timeless,C,0
Chronostasis,Prophecy,3 Timeless,3,"Gain (2) Time Counters. 
Before drawing a card(s) that player may reveal the top card of their deck, they may shuffle.",XXX,XXX,3,XXX,1,Timeless,U,0
Clock Tower Custodian,"Gnome, Being",1 Timeless,1,When summoned if you control a Prophecy draw (1) card.,1,3,XXX,"1, 5",1,Timeless,C,0
Daylight Savings  ,Prophecy,1 Timeless,1,"Gain (3) Time Counters. 
Draw three Cards.
You do not draw during the start of your turn.",XXX,XXX,4,XXX,1,Timeless,C,0
Deja Vu,"Ethereal, Conjuring","X, 2 Timeless",4,"Return target Being that you control with cost (X) to your hand, then Summon it without paying its summoning cost
Pay (2) additional Timeless Essence to target a Deity.",XXX,XXX,XXX,XXX,1,Timeless,R,0
Delay,"Ethereal, Conjuring",3 Timeless,3,"Negate the Summoning of target Being, it conjures as a face up Prophecy instead and gains: (2) Time Counters, ""If this has at least (1) Time Counter its effects are negated. When it has (0) TIme Counters Summon it in the Mortal Realm",XXX,XXX,XXX,XXX,1,Timeless,U,0
Dial of Metatoris,Relic,1 Timeless,1,Engage: Modulate (±1) on a target you control,XXX,XXX,XXX,XXX,1,Timeless,Sacred,0
Distant Debator,"Human, Being",1 Timeless,1,"When revealed on the top of your deck, you may engage a non Deity Being in the Mortal Realm until your next turn.",1,1,XXX,"1, 4, 6",1,Timeless,C,0
Echo chamber,Conjuring,"1 Faithless, 2 Timeless",3,"Move target Being you control in any direction, then move target Being an opponent controls in any direction. ",XXX,XXX,2,XXX,1,Timeless,R,0
Eònion Altar,Altar,1 Timeless,1,"When conjured gain (3) Time Counters. 
If this has (0) Time Counters: Craft (1) additional Effigy on your turn.
(Conjures in the Effigy Zone).",XXX,XXX,XXX,XXX,1,Timeless,U,0
Eònion Zealot,"Human, Being",1 Timeless,1,Once per turn when a Time Counter is removed from a Prophecy you control add (1) Timeless Essence.,1,2,XXX,1,1,Timeless,C,0
Equanimity,Conjuring,3 Timeless,3,"Deal (1) damage to each Being and your Lifespan, repeat for each Time Counter on a Prophecy that you control.
No damage is dealt from any Beings that die.",XXX,XXX,XXX,XXX,1,Timeless,R,1
Exactly on TIme,Prophecy,"1 Faithless, 2 Timeless",3,Add a Timless Being that costs (3) or more from deck to hand.,XXX,XXX,2,XXX,1,Timeless,R,0
Foresight ,Conjuring,1 Timeless,1,Look at the top card of an opponents deck. You may have them shuffle.,XXX,XXX,XXX,XXX,1,Timeless,C,0
Freeze Frame,"Ethereal, Conjuring",2 Timeless,2,"Target Engaged Being gains: (2) Time Counters and ""While this has at least (1) Time Counter, it does not Disengage during Disengage step""",XXX,XXX,XXX,XXX,1,Timeless,U,0
Horological Horror,"Temporal, Being",3 Timeless,3,"(X) is equal to the total number of Time Counters you control.
When this dies you take (5) Lifespan Damage",X,X,XXX,"1, 3, 4, 5, 6, 7",1,Timeless,R,0
Horologist’s Apprentice,"Human, Being",2 Timeless,2,"Gain (1) Time Counter whenever a Time Counter is removed from a Prophecy you control.
Once per turn remove (3) Time Counters: Shuffle a random card from hand into deck, then draw (1) Card.",0,2,XXX,"1, 3, 5",1,Timeless,U,0
Hourglass,Relic,1 Timeless,1,"Whenever a Time Counter is removed from a Prophecy you control add it to this. 
Engage: Remove (5) Time Counters, then draw (2) cards.",XXX,XXX,XXX,XXX,1,Timeless,U,0
Humble Contrarian,"Human, Being","1 Faithless, 1 Timeless",3,"When summoned reveal the top card of each deck, the player who has the lowest cost card draws it. If it is tied each player draws.",2,2,XXX,8,1,Timeless,C,0
Hurry Up and Wait,Conjuring,"1 Faithless,  3 Timeless",3,"Modulate (-1) and Modulate (+1).
This may only target Time Counters that you control.",XXX,XXX,XXX,XXX,2,Timeless,C,0
Infinite Divisibility,"Ethereal, Conjuring",1 Timeless,3," Shuffle your hand into your deck, then draw half that many cards rounded up.",XXX,XXX,XXX,XXX,1,Timeless,C,0
Inquisitive Prodigy,"Human, Being",1 Timeless,1,"When summoned look at the top card of your deck, then you may shuffle or put it back on top.

""What?How?Why?""",1,1,XXX,1,1,Timeless,C,0
Instigator,"Human, Being",2 Timeless,2,"When summoned, engage target non Deity Being, until the start of your next turn it gains ""This does not disengage during Disengage Step"".",1,2,XXX,"2, 8",1,Timeless,C,0
Massive Mage,"Giant, Being",4 Timeless,4,"When summoned if you control a Prophecy deal (4) damage to target Being.

""Larger Mage Larger Fireball""",2,4,XXX,1,1,Timeless,U,0
Medium Mage,"Human, Being","1 Faithless, 2 Timeless",3,When summoned if you control a Prophecy deal (3) damage to target Being.,1,3,XXX,"1, 5",1,Timeless,C,0
Melting Clock,Relic,"1 Faithless, 1 Timeless",2,"Engage: Shuffle a Prophecy card into deck from your Purgatory. 
Pay (1) Timeless Essence, Martyr: Add a Being to hand from your Purgatory.",XXX,XXX,XXX,XXX,1,Timeless,C,0
MetaToris,"Temporal, Being, Deity",3 Timeless,3,"Twice per turn Modulate (±1). 
When summoned Shuffle (3) cards into deck from your Purgatory (can not target MetaToris) or draw (3) Cards.",3,4,XXX,"1, 2, 3, 4, 5, 6, 7, 8",1,Timeless,Sacred,0
Mini Mage,"Gnome, Being",2 Timeless,2,When summoned if you control a Prophecy deal (2) damage to target Being.,0,2,XXX,"1, 5",1,Timeless,C,0
Minute-taur,"Temporal, Being","2 Faithless, 1 Timeless",3,"At the start of your turn move forward.
At the end of your turn move backward.

""Time charges blindly forward...and sometimes also backwards"" ",4,1,XXX,"1, 5",1,Timeless,C,0
Modulate,Conjuring,"2 Faithless, 2 Timeless",4,"Modulate (±1)
(Oracle)",X,X,XXX,XXX,2,Timeless,C,0
Orbital Acceleration,Prophecy,1 Timeless,1,"All players draw a card. 
Craft (1) Effigy.
You may Modulate (-1).",XXX,XXX,4,XXX,1,Timeless,C,0
Pause,"Ethereal, Conjuring",2 Timeless,2,"During the next Modulate Step, Time Counters are not removed.",XXX,XXX,XXX,XXX,1,Timeless,U,0
Pompous Contrarian,"Human, Being","1 Faithless, 1 Timeless",3,When summoned reveal the top card of each deck.The player who has the highest cost card draws it. If it is tied each player draws,2,2,XXX,2,1,Timeless,C,0
Prophesize,"Ethereal, Conjuring",2 Timeless,2,"The next Being you summon is conjured as a face up Prophecy with (2) Time Counters and ""if this has (0) Time Counters move it to the Mortal Realm"" It has all other effects negated while a Prophecy.",XXX,XXX,XXX,XXX,1,Timeless,U,0
Recollect,Prophecy,"1 Faithless, 2 Timeless",3,"Choose target Being this points to, it is returned to it’s owner’s hand, It’s owner Crafts Effigies equal to its cost.",XXX,XXX,2,"1, 4, 6",1,Timeless,U,0
Regress,"Ethereal, Conjuring","1 Faithless, 1 Timeless",2,Target Being's Strength becomes (0) until end of turn.,XXX,XXX,XXX,XXX,1,Timeless,U,0
Rewrite the Past,"Ethereal, Conjuring","1 Faithless, 2 Timeless",3,"Negate a Prophecy and flip it face down, then add (2) Time Counters to it.",XXX,XXX,XXX,XXX,1,Timeless,U,0
Seeress,"Human, Being",1 Timeless,1,"When summoned look at the top (2) cards of your deck, return them in the same order.",1,1,XXX,"2, 7",1,Timeless,C,0
Singularity ,"Temporal, Being","12 Faithless, 1 Timeless",13,"Costs (-1) Faithless for each Time Counter that you control. 
Singularity has -X/-X where X equals the number of Time Counters that you control. 
 
""What happens when the clock strikes 13? -horologist’s apprentice""",13,13,XXX,1,1,Timeless,Sacred,0
Sneaky Peek,"Gnome, Being","2 Faithless, 1 Timeless",3,"When summoned, if you control a Prophecy, reveal the top card of your deck.",1,2,XXX,"1, 8",1,Timeless,C,
Soulless Scissors ,"Relic, Armament",2 Timeless,2,"Animated.
Attached Being gains: ""Engage: Modulate (±1)"".",1,2,XXX,"2, 4, 6, 8",1,Timeless,C,0
Temporal Anomaly ,"Temporal, Being",2 Timeless,2,"This gains +1/+1 whenever you Modulate (±1) except due to the Modulate Step,",1,1,XXX,"1, 2, 7",1,Timeless,R,1
The Fountain,Relic,2 Timeless,3,You take (1) less Lifespan Damage during the Down Tick Step,XXX,XXX,XXX,XXX,1,Timeless,R,1
The Persistence of Memory,Prophecy,3 Timeless,4,"Gain (2) Time Counters. 
Beings do not enter the Mortal Realm engaged. 

Memory for some, Motivation for others",XXX,XXX,3,XXX,1,Timeless,R,0
Time Capsule,Relic,"1 Faithless, 2 Timeless",3,"Whenever you Modulate (-1) except due to the Modulate Step, add (1) Time Counter to this.
Martyr: Modulate (+1), then repeat for each Time Counter on this.",XXX,XXX,XXX,XXX,1,Timeless,U,0
Time Keeper,"Human, Being","1 Faithless, 1 Timeless",2,Engage: Modulate (±1) a target this points to.,1,3,XXX,"1, 2, 8",1,Timeless,C,0
Timeline Tinker,"Gnome, Being",2 Timeless,2,Whenever you conjure a Prophecy craft (1) Effigy.,0,1,XXX,"2, 8",1,Timeless,R,0
Waning Words,"Ethereal, Conjuring",3 Timeless,3,"Target Conjuring becomes a Prophecy and gains: (2) Time Counters, ""If this has at least (1) Time Counter its effects are negated""",XXX,XXX,XXX,XXX,1,Timeless,U,0
Weaver,"Temporal, Being",2 Timeless,2,"When summoned draw (2) cards, then put (1) card from hand on the bottom of deck.",1,3,XXX,"2, 5, 7, 8",1,Timeless,U,0
Oracle of Eonia,"Human, Being","1 Faithless, 1 Timeless",2,"Engage: Reveal the top card of your deck, then you may sacrifice this and draw a card. ",0,3,XXX,"2, 3, 7, 8",,,C,0
Snake Skin,"Relic, Armament, Token",1 Bleeding,1,Being gains +0/+2,XXX,XXX,XXX,XXX,,Bleeding,,
